City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,coahuayana de hidalgo,18.7,-103.6583,30.95,69,92,2.3,MX,1726347248
110,ust-nera,64.5667,143.2,2.07,96,100,2.55,RU,1726347249
111,aleksandrov gay,50.147,48.5704,18.61,43,0,3.49,RU,1726347250
112,kuanda,56.3161,116.0806,3.89,84,35,0.48,RU,1726347251
113,sengiley,53.9622,48.7944,14.94,62,35,0.29,RU,1726347253
114,al jawf,29.5,38.75,26.22,26,0,3.67,SA,1726347254
115,ashkelon,31.6693,34.5715,26.35,68,8,3.04,IL,1726347255
116,mersin,36.862,34.6509,26.08,74,65,1.23,TR,1726347257
117,merizo village,13.2658,144.6691,25.32,95,100,5.06,GU,1726347259
118,tura,25.5198,90.2201,22.77,95,98,2.27,IN,1726347261
119,whitehorse,60.7161,-135.0538,9.43,66,40,1.03,CA,1726347262
120,midvagur,62.0511,-7.1939,10.46,100,100,9.77,FO,1726347263
121,san antonio de pale,-1.4014,5.6325,24.14,82,62,3.97,GQ,1726347264
122,haiku-pauwela,20.9219,-156.3051,29.03,64,20,8.75,US,1726347266
123,hamilton,39.1834,-84.5333,32.97,41,20,5.66,US,1726347267
124,goure,13.9835,10.2704,30.56,50,55,3.32,NE,1726347268
125,port pirie,-33.1833,138.0167,3.16,68,2,4.21,AU,1726347270
126,port alfred,-33.5906,26.891,16.77,89,100,0.45,ZA,1726347253
127,shihezi,44.3,86.0333,13.5,71,1,1.17,CN,1726347272
128,lebu,-37.6167,-73.65,10.17,78,22,7.89,CL,1726347273
129,novyy urgal,51.0736,132.5642,1.5,84,83,0.93,RU,1726347275
130,akureyri,65.6835,-18.0878,3.96,81,100,3.6,IS,1726347153
131,coronel dorrego,-38.7187,-61.2873,15.67,41,22,4.53,AR,1726347277
132,valparaiso,-33.0393,-71.6273,17.8,57,0,7.2,CL,1726347119
133,belyy yar,53.6039,91.3903,8.94,87,75,7.0,RU,1726347280
134,rongelap,11.1635,166.8941,28.85,79,100,7.87,MH,1726347281
135,iskateley,67.6803,53.1512,15.57,86,13,3.85,RU,1726347168
136,coquimbo,-29.9533,-71.3436,13.88,67,20,5.14,CL,1726347093
137,coruripe,-10.1256,-36.1756,22.93,74,22,4.22,BR,1726347285
138,chokwe,-24.5333,32.9833,21.73,83,36,5.18,MZ,1726347286
139,kwaksan,39.6875,125.0828,16.57,81,82,3.09,KP,1726347288
140,invercargill,-46.4,168.35,5.57,95,100,4.47,NZ,1726346977
141,ofunato,39.0717,141.7167,22.14,95,66,2.7,JP,1726347291
142,luumaki,60.9262,27.5814,14.76,82,88,2.5,FI,1726347293
143,kalach-na-donu,48.691,43.5264,17.6,27,0,3.64,RU,1726347294
144,new norfolk,-42.7826,147.0587,3.73,93,17,1.27,AU,1726347295
145,san luis de la loma,17.2706,-100.8939,30.24,75,100,2.45,MX,1726347297
146,holualoa,19.6228,-155.9522,27.36,73,22,2.38,US,1726347298
147,san patricio,28.017,-97.5169,33.97,49,100,6.08,US,1726347301
148,fort bragg,35.139,-79.006,27.17,70,100,6.17,US,1726347302
149,tanhacu,-14.0214,-41.2481,24.27,58,3,5.43,BR,1726347303
150,ghat,24.9647,10.1728,32.15,36,7,5.7,LY,1726347304
151,praia da vitoria,38.7333,-27.0667,24.31,78,20,2.35,PT,1726347306
152,tiksi,71.6872,128.8694,1.74,88,100,7.39,RU,1726346737
153,ironwood,46.4547,-90.171,23.45,64,40,1.54,US,1726347281
154,talara,-4.5772,-81.2719,22.42,88,0,6.17,PE,1726347310
155,bethel,41.3712,-73.414,27.25,62,3,0.45,US,1726347070
156,zychlin,52.244,19.6261,16.12,95,100,9.3,PL,1726347312
157,saipan,15.1355,145.701,27.39,83,40,4.12,MP,1726347313
158,ludenscheid,51.2167,7.6167,7.98,84,0,0.82,DE,1726347315
159,chazuta,-6.5742,-76.1367,39.47,33,81,0.76,PE,1726347316
160,santa cruz,-17.8,-63.1667,20.03,88,100,7.2,BO,1726347061
161,nova sintra,14.8667,-24.7167,26.32,75,29,3.58,CV,1726347319
162,kongoussi,13.3258,-1.5347,27.52,72,3,3.23,BF,1726347320
163,cheremkhovo,53.1561,103.0675,8.25,93,100,3.92,RU,1726347321
164,lugovoy,42.9472,72.7644,11.83,45,70,1.65,KZ,1726347322
165,alice springs,-23.7,133.8833,8.75,57,0,2.57,AU,1726347324
166,vytegra,61.0064,36.4481,14.59,67,99,3.14,RU,1726347325
167,hawaiian paradise park,19.5933,-154.9731,28.28,72,0,3.6,US,1726346837
168,katsuura,35.1333,140.3,27.48,84,23,8.59,JP,1726347328
169,antsiranana,-12.2787,49.2917,23.3,74,12,8.66,MG,1726347329
170,wellington,-41.2866,174.7756,11.15,90,40,5.14,NZ,1726347064
171,tongren,27.7172,109.1853,21.86,94,30,1.18,CN,1726347331
172,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,53,20,8.0,RU,1726347333
173,sechura,-5.5569,-80.8222,23.53,57,18,7.87,PE,1726347334
174,yamada,39.4667,141.95,21.61,93,97,2.75,JP,1726347335
175,sergeyevka,53.88,67.4158,11.68,81,4,2.2,KZ,1726347337
176,castillos,-34.1667,-53.8333,10.34,72,0,3.89,UY,1726347339
177,mejit,10.2753,170.8646,28.22,83,100,10.07,MH,1726347340
178,piti village,13.4626,144.6933,25.49,94,40,2.57,GU,1726347342
179,fortuna,40.5982,-124.1573,21.07,72,0,7.72,US,1726347343
180,dunedin,-45.8742,170.5036,7.67,97,100,1.67,NZ,1726347291
181,sagua la grande,22.8067,-80.0756,30.14,69,100,3.41,CU,1726347347
182,hakha,22.65,93.6167,17.61,100,100,0.87,MM,1726347349
183,avarua,-21.2078,-159.775,25.03,78,75,3.09,CK,1726347350
184,tolanaro,-25.0319,46.9987,20.04,88,20,10.29,MG,1726347351
185,timbuktu,16.7735,-3.0074,30.51,52,67,7.78,ML,1726347353
186,havre,49.5833,0.3333,10.87,76,0,1.54,FR,1726347355
187,sirte,31.2089,16.5887,25.65,63,99,5.45,LY,1726347313
188,lincheng,19.9078,109.6858,25.44,88,70,1.84,CN,1726347358
189,sao joao de pirabas,-0.7747,-47.1772,26.65,79,15,5.82,BR,1726347359
190,ingeniero jacobacci,-41.3427,-69.5448,11.09,30,77,8.52,AR,1726347360
191,mossel bay,-34.1831,22.146,13.96,82,39,1.19,ZA,1726347362
192,petauke,-14.2426,31.3253,23.02,23,7,2.41,ZM,1726347363
193,madimba,-10.4,40.3333,22.59,87,4,2.16,TZ,1726347364
194,port isabel,26.0734,-97.2086,33.34,88,75,6.17,US,1726347282
195,denbigh,53.1833,-3.4167,14.4,86,100,4.76,GB,1726347367
196,smidovich,48.6,133.8167,6.74,70,4,3.52,RU,1726347368
197,quixada,-4.9714,-39.0153,29.56,32,9,1.39,BR,1726347370
198,wawarsing,41.759,-74.3574,29.45,52,0,0.95,US,1726347371
199,ovalle,-30.5983,-71.2003,23.44,34,1,3.48,CL,1726346952
200,klyuchi,52.2667,79.1667,9.98,75,2,2.98,RU,1726347373
201,geraldton,-28.7667,114.6,17.23,36,0,9.26,AU,1726347375
202,xilin hot,43.9667,116.0333,6.83,58,0,2.01,CN,1726347376
203,touros,-5.1989,-35.4608,24.6,78,40,7.6,BR,1726347193
204,sao gabriel da cachoeira,-0.1303,-67.0892,31.64,56,96,0.32,BR,1726347185
205,choele choel,-39.2667,-65.6833,18.32,20,30,2.51,AR,1726347380
206,lazaro cardenas,17.9583,-102.2,29.88,75,97,3.09,MX,1726347381
207,umba,66.6871,34.3429,12.72,89,100,1.98,RU,1726347382
208,dryden,49.7833,-92.7503,26.16,50,20,5.14,CA,1726346851
209,ulladulla,-35.35,150.4667,8.62,60,10,7.84,AU,1726347274
210,nyurba,63.2842,118.3319,-3.69,93,14,0.74,RU,1726347386
211,hadibu,12.65,54.0333,25.7,82,67,8.1,YE,1726346797
212,port hedland,-20.3167,118.5667,28.03,24,100,5.14,AU,1726347389
213,ukiah,39.1502,-123.2078,33.42,25,0,1.54,US,1726347390
214,alotau,-10.3069,150.4462,24.3,94,93,2.08,PG,1726347391
215,lospalos,-8.5186,127.0025,18.71,94,65,1.31,TL,1726347393
216,al kharijah,25.4514,30.5464,28.47,34,0,3.15,EG,1726347395
217,dara,15.3484,-15.4799,29.14,68,99,3.94,SN,1726347397
218,amahai,-3.3333,128.9167,24.81,82,94,1.49,ID,1726347398
219,kone,-21.0595,164.8658,22.36,67,37,1.28,NC,1726347399
220,staunton,38.1496,-79.0717,27.51,52,0,4.63,US,1726347133
221,utrik,11.2278,169.8474,28.72,79,100,8.87,MH,1726347402
222,austin,30.2672,-97.7431,37.68,47,0,3.6,US,1726346825
223,iquique,-20.2208,-70.1431,16.68,77,25,3.95,CL,1726347404
224,cam ranh,11.9214,109.1591,25.98,89,75,1.03,VN,1726347406
225,devils lake,48.1128,-98.8651,25.53,46,0,4.12,US,1726347407
226,hasaki,35.7333,140.8333,27.02,83,11,8.88,JP,1726347410
227,kuta,-8.7233,115.1723,25.97,89,20,1.54,ID,1726347132
228,bredasdorp,-34.5322,20.0403,10.1,92,0,1.25,ZA,1726347412
229,byaroza,52.5314,24.9786,16.92,71,86,4.17,BY,1726347413
230,monrovia,6.3005,-10.7969,24.93,87,41,4.67,LR,1726347266
231,bereznik,62.8551,42.7072,14.64,74,64,2.2,RU,1726347416
232,port elizabeth,-33.918,25.5701,16.84,93,93,0.45,ZA,1726347417
233,lorengau,-2.0226,147.2712,26.42,83,65,1.75,PG,1726347419
234,codrington,-38.2667,141.9667,9.04,60,47,6.62,AU,1726347073
235,kailua-kona,19.6406,-155.9956,29.43,67,25,2.57,US,1726347421
